3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -2.676221e-01 + i -1.625021e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.299686e-04 + i -8.724103e-05 ; -9.712785e-02 + i -5.897675e-02 ; -9.712785e-02 + i -5.897675e-02 ; -4.974119e-02 + i -3.021154e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.954018e-02 + i -1.187326e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.389353e-02 + i -2.058872e-02 ; -1.992121e-02 + i -1.209631e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.584690e-02 + i -9.630672e-03 ; -6.587808e-03 + i -4.000168e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.389353e-02 + i -2.058872e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; -1.584690e-02 + i -9.630672e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.587808e-03 + i -4.000168e-03 ; -2.380370e-02 + i -1.446210e-02 ; -1.506376e-02 + i -9.146827e-03 ; -1.506376e-02 + i -9.146827e-03 ; -1.298025e-02 + i -7.890021e-03 ; -5.601538e-03 + i -3.401297e-03 ; -5.601538e-03 + i -3.401297e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.722608e-03 + i 5.288123e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.682861e-03 + i 5.871195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; 5.601538e-03 + i 3.401297e-03 ; 1.501937e-03 + i 9.119879e-04 ; 6.408982e-03 + i 3.883273e-03 ; 1.506376e-02 + i 9.146827e-03 ; 5.518785e-03 + i 3.351048e-03 ; 1.179467e-02 + i 7.153498e-03 ; 6.587808e-03 + i 4.000168e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.956223e-03 + i 4.215561e-03 ; 1.992121e-02 + i 1.209631e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.318388e-02 + i 7.997032e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; 9.712785e-02 + i 5.897675e-02 ; 9.712785e-02 + i 5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; 0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; 2.676221e-01 + i 1.625021e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 
-3.389353e-02 + i -2.058872e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; -7.913335e-02 + i -4.805868e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.228813e-02 + i -4.996597e-02 ; -2.380370e-02 + i -1.446210e-02 ; 1.506376e-02 + i 9.146827e-03 ; -1.506376e-02 + i -9.146827e-03 ; -3.622068e-02 + i -2.200178e-02 ; 4.705868e-02 + i 2.857438e-02 ; -4.705868e-02 + i -2.857438e-02 ; -4.974119e-02 + i -3.021154e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.952322e-01 + i -1.185547e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.389353e-02 + i -2.058872e-02 ; 1.992121e-02 + i 1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.913335e-02 + i -4.805868e-02 ; 8.228813e-02 + i 4.996597e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.299686e-04 + i -8.724103e-05 ; -9.712785e-02 + i -5.897675e-02 ; 9.712785e-02 + i 5.897675e-02 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -2.676221e-01 + i -1.625021e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.318745e-02 + i 3.835956e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.506376e-02 + i 9.146827e-03 ; 1.179467e-02 + i 7.153498e-03 ; 5.518785e-03 + i 3.351048e-03 ; 4.705868e-02 + i 2.857438e-02 ; 1.796055e-02 + i 1.089746e-02 ; 2.720875e-02 + i 1.652136e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.742084e-02 + i 5.914633e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.992121e-02 + i 1.209631e-02 ; 1.318388e-02 + i 7.997032e-03 ; 0.000000e+00 + i -0.000000e+00 ; 8.228813e-02 + i 4.996597e-02 ; 1.560946e-02 + i 9.469857e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 2.676221e-01 + i 1.625021e-01 ; -9.712785e-02 + i -5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; 9.712785e-02 + i 5.897675e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.992121e-02 + i -1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.318388e-02 + i 7.997032e-03 ; -8.228813e-02 + i -4.996597e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.560946e-02 + i 9.469857e-03 ; -1.506376e-02 + i -9.146827e-03 ; 5.518785e-03 + i 3.351048e-03 ; 1.179467e-02 + i 7.153498e-03 ; -4.705868e-02 + i -2.857438e-02 ; 2.720875e-02 + i 1.652136e-02 ; 1.796055e-02 + i 1.089746e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.742084e-02 + i 5.914633e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.318745e-02 + i 3.835956e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 2.676221e-01 + i 1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; 9.712785e-02 + i 5.897675e-02 ; 9.712785e-02 + i 5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; 
-1.584690e-02 + i -9.630672e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.587808e-03 + i -4.000168e-03 ; -3.389353e-02 + i -2.058872e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; -1.298025e-02 + i -7.890021e-03 ; 5.601538e-03 + i 3.401297e-03 ; -5.601538e-03 + i -3.401297e-03 ; -2.380370e-02 + i -1.446210e-02 ; 1.506376e-02 + i 9.146827e-03 ; -1.506376e-02 + i -9.146827e-03 ; -1.954018e-02 + i -1.187326e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.974119e-02 + i -3.021154e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.584690e-02 + i -9.630672e-03 ; 6.587808e-03 + i 4.000168e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.389353e-02 + i -2.058872e-02 ; 1.992121e-02 + i 1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.299686e-04 + i -8.724103e-05 ; 9.712785e-02 + i 5.897675e-02 ; -9.712785e-02 + i -5.897675e-02 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 2.676221e-01 + i 1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 8.722608e-03 + i 5.288123e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.601538e-03 + i 3.401297e-03 ; 6.408982e-03 + i 3.883273e-03 ; 1.501937e-03 + i 9.119879e-04 ; 1.506376e-02 + i 9.146827e-03 ; 1.179467e-02 + i 7.153498e-03 ; 5.518785e-03 + i 3.351048e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.682861e-03 + i 5.871195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.587808e-03 + i 4.000168e-03 ; 6.956223e-03 + i 4.215561e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.992121e-02 + i 1.209631e-02 ; 1.318388e-02 + i 7.997032e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.712785e-02 + i 5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; 9.712785e-02 + i 5.897675e-02 ; 0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 2.676221e-01 + i 1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.587808e-03 + i -4.000168e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.956223e-03 + i 4.215561e-03 ; -1.992121e-02 + i -1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.318388e-02 + i 7.997032e-03 ; -5.601538e-03 + i -3.401297e-03 ; 1.501937e-03 + i 9.119879e-04 ; 6.408982e-03 + i 3.883273e-03 ; -1.506376e-02 + i -9.146827e-03 ; 5.518785e-03 + i 3.351048e-03 ; 1.179467e-02 + i 7.153498e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.682861e-03 + i 5.871195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.722608e-03 + i 5.288123e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -2.676221e-01 + i -1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; -9.712785e-02 + i -5.897675e-02 ; 9.712785e-02 + i 5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; -0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; 
-2.380370e-02 + i -1.446210e-02 ; -1.506376e-02 + i -9.146827e-03 ; -1.506376e-02 + i -9.146827e-03 ; -3.622068e-02 + i -2.200178e-02 ; -4.705868e-02 + i -2.857438e-02 ; -4.705868e-02 + i -2.857438e-02 ; -3.389353e-02 + i -2.058872e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; -7.913335e-02 + i -4.805868e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.228813e-02 + i -4.996597e-02 ; -3.389353e-02 + i -2.058872e-02 ; -1.992121e-02 + i -1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.913335e-02 + i -4.805868e-02 ; -8.228813e-02 + i -4.996597e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.974119e-02 + i -3.021154e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.952322e-01 + i -1.185547e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.299686e-04 + i -8.724103e-05 ; 9.712785e-02 + i 5.897675e-02 ; 9.712785e-02 + i 5.897675e-02 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; 2.676221e-01 + i 1.625021e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.506376e-02 + i -9.146827e-03 ; 1.179467e-02 + i 7.153498e-03 ; -5.518785e-03 + i -3.351048e-03 ; -4.705868e-02 + i -2.857438e-02 ; 1.796055e-02 + i 1.089746e-02 ; -2.720875e-02 + i -1.652136e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.318745e-02 + i 3.835956e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; 1.318388e-02 + i 7.997032e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.228813e-02 + i -4.996597e-02 ; 1.560946e-02 + i 9.469857e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.742084e-02 + i 5.914633e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -2.676221e-01 + i -1.625021e-01 ; 9.712785e-02 + i 5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; -9.712785e-02 + i -5.897675e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.676221e-01 + i 1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.506376e-02 + i -9.146827e-03 ; -5.518785e-03 + i -3.351048e-03 ; 1.179467e-02 + i 7.153498e-03 ; -4.705868e-02 + i -2.857438e-02 ; -2.720875e-02 + i -1.652136e-02 ; 1.796055e-02 + i 1.089746e-02 ; -1.992121e-02 + i -1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.318388e-02 + i 7.997032e-03 ; -8.228813e-02 + i -4.996597e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.560946e-02 + i 9.469857e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.318745e-02 + i 3.835956e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.742084e-02 + i 5.914633e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; 9.712785e-02 + i 5.897675e-02 ; -9.712785e-02 + i -5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; 2.676221e-01 + i 1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; 
-1.298025e-02 + i -7.890021e-03 ; -5.601538e-03 + i -3.401297e-03 ; -5.601538e-03 + i -3.401297e-03 ; -2.380370e-02 + i -1.446210e-02 ; -1.506376e-02 + i -9.146827e-03 ; -1.506376e-02 + i -9.146827e-03 ; -1.584690e-02 + i -9.630672e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.587808e-03 + i -4.000168e-03 ; -3.389353e-02 + i -2.058872e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; -1.584690e-02 + i -9.630672e-03 ; -6.587808e-03 + i -4.000168e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.389353e-02 + i -2.058872e-02 ; -1.992121e-02 + i -1.209631e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.954018e-02 + i -1.187326e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.974119e-02 + i -3.021154e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.299686e-04 + i -8.724103e-05 ; -9.712785e-02 + i -5.897675e-02 ; -9.712785e-02 + i -5.897675e-02 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -2.676221e-01 + i -1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.601538e-03 + i -3.401297e-03 ; 6.408982e-03 + i 3.883273e-03 ; -1.501937e-03 + i -9.119879e-04 ; -1.506376e-02 + i -9.146827e-03 ; 1.179467e-02 + i 7.153498e-03 ; -5.518785e-03 + i -3.351048e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.722608e-03 + i 5.288123e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.048225e-02 + i 1.242866e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.587808e-03 + i -4.000168e-03 ; 6.956223e-03 + i 4.215561e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.992121e-02 + i -1.209631e-02 ; 1.318388e-02 + i 7.997032e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.682861e-03 + i 5.871195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.474910e-02 + i 1.501952e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.712785e-02 + i -5.897675e-02 ; -1.299686e-04 + i -8.724103e-05 ; -9.712785e-02 + i -5.897675e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.936744e-02 + i -5.427289e-02 ; -2.676221e-01 + i -1.625021e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.782547e-01 + i 1.082292e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.676221e-01 + i -1.625021e-01 ; -8.936744e-02 + i -5.427289e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.009378e+00 + i -6.129103e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.043472e-01 + i 3.062350e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.112760e+00 + i 1.282875e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
