1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -9.947475e-02 + i -1.395263e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.625928e-05 + i -6.534219e-06 ; -3.610117e-02 + i -5.063660e-03 ; -3.610117e-02 + i -5.063660e-03 ; -1.847845e-02 + i -2.593291e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.255482e-03 + i -1.019124e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.258901e-02 + i -1.767220e-03 ; -7.403220e-03 + i -1.038398e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.883227e-03 + i -8.266468e-04 ; -2.447709e-03 + i -3.433233e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.258901e-02 + i -1.767220e-03 ; 0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; -5.883227e-03 + i -8.266468e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.447709e-03 + i -3.433233e-04 ; -8.839538e-03 + i -1.241308e-03 ; -5.597898e-03 + i -7.851783e-04 ; -5.597898e-03 + i -7.851783e-04 ; -4.818164e-03 + i -6.772577e-04 ; -2.081195e-03 + i -2.919149e-04 ; -2.081195e-03 + i -2.919149e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.245606e-03 + i 4.537920e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.602712e-03 + i 5.038805e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; 2.081195e-03 + i 2.919149e-04 ; 5.580296e-04 + i 7.827099e-05 ; 2.385710e-03 + i 3.331804e-04 ; 5.597898e-03 + i 7.851783e-04 ; 2.050856e-03 + i 2.876593e-04 ; 4.389305e-03 + i 6.142098e-04 ; 2.447709e-03 + i 3.433233e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.589303e-03 + i 3.617369e-04 ; 7.403220e-03 + i 1.038398e-03 ; 0.000000e+00 + i -0.000000e+00 ; 4.906135e-03 + i 6.867017e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; 3.610117e-02 + i 5.063660e-03 ; 3.610117e-02 + i 5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; 0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; 9.947475e-02 + i 1.395263e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 
-1.258901e-02 + i -1.767220e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; -2.940168e-02 + i -4.125416e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.058452e-02 + i -4.289876e-03 ; -8.839538e-03 + i -1.241308e-03 ; 5.597898e-03 + i 7.851783e-04 ; -5.597898e-03 + i -7.851783e-04 ; -1.345288e-02 + i -1.888389e-03 ; 1.749004e-02 + i 2.453206e-03 ; -1.749004e-02 + i -2.453206e-03 ; -1.847845e-02 + i -2.593291e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.255325e-02 + i -1.017799e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.258901e-02 + i -1.767220e-03 ; 7.403220e-03 + i 1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.940168e-02 + i -4.125416e-03 ; 3.058452e-02 + i 4.289876e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.625928e-05 + i -6.534219e-06 ; -3.610117e-02 + i -5.063660e-03 ; 3.610117e-02 + i 5.063660e-03 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -9.947475e-02 + i -1.395263e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.349553e-02 + i 3.294106e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.597898e-03 + i 7.851783e-04 ; 4.389305e-03 + i 6.142098e-04 ; 2.050856e-03 + i 2.876593e-04 ; 1.749004e-02 + i 2.453206e-03 ; 6.684361e-03 + i 9.361205e-04 ; 1.011253e-02 + i 1.418414e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.622215e-02 + i 5.079180e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.403220e-03 + i 1.038398e-03 ; 4.906135e-03 + i 6.867017e-04 ; 0.000000e+00 + i -0.000000e+00 ; 3.058452e-02 + i 4.289876e-03 ; 5.811941e-03 + i 8.137522e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 9.947475e-02 + i 1.395263e-02 ; -3.610117e-02 + i -5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; 3.610117e-02 + i 5.063660e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-7.403220e-03 + i -1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.906135e-03 + i 6.867017e-04 ; -3.058452e-02 + i -4.289876e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.811941e-03 + i 8.137522e-04 ; -5.597898e-03 + i -7.851783e-04 ; 2.050856e-03 + i 2.876593e-04 ; 4.389305e-03 + i 6.142098e-04 ; -1.749004e-02 + i -2.453206e-03 ; 1.011253e-02 + i 1.418414e-03 ; 6.684361e-03 + i 9.361205e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.622215e-02 + i 5.079180e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.349553e-02 + i 3.294106e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 9.947475e-02 + i 1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; 3.610117e-02 + i 5.063660e-03 ; 3.610117e-02 + i 5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; 
-5.883227e-03 + i -8.266468e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.447709e-03 + i -3.433233e-04 ; -1.258901e-02 + i -1.767220e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; -4.818164e-03 + i -6.772577e-04 ; 2.081195e-03 + i 2.919149e-04 ; -2.081195e-03 + i -2.919149e-04 ; -8.839538e-03 + i -1.241308e-03 ; 5.597898e-03 + i 7.851783e-04 ; -5.597898e-03 + i -7.851783e-04 ; -7.255482e-03 + i -1.019124e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.847845e-02 + i -2.593291e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.883227e-03 + i -8.266468e-04 ; 2.447709e-03 + i 3.433233e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.258901e-02 + i -1.767220e-03 ; 7.403220e-03 + i 1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.625928e-05 + i -6.534219e-06 ; 3.610117e-02 + i 5.063660e-03 ; -3.610117e-02 + i -5.063660e-03 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 9.947475e-02 + i 1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 3.245606e-03 + i 4.537920e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.081195e-03 + i 2.919149e-04 ; 2.385710e-03 + i 3.331804e-04 ; 5.580296e-04 + i 7.827099e-05 ; 5.597898e-03 + i 7.851783e-04 ; 4.389305e-03 + i 6.142098e-04 ; 2.050856e-03 + i 2.876593e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.602712e-03 + i 5.038805e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.447709e-03 + i 3.433233e-04 ; 2.589303e-03 + i 3.617369e-04 ; 0.000000e+00 + i -0.000000e+00 ; 7.403220e-03 + i 1.038398e-03 ; 4.906135e-03 + i 6.867017e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.610117e-02 + i 5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; 3.610117e-02 + i 5.063660e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 9.947475e-02 + i 1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-2.447709e-03 + i -3.433233e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.589303e-03 + i 3.617369e-04 ; -7.403220e-03 + i -1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.906135e-03 + i 6.867017e-04 ; -2.081195e-03 + i -2.919149e-04 ; 5.580296e-04 + i 7.827099e-05 ; 2.385710e-03 + i 3.331804e-04 ; -5.597898e-03 + i -7.851783e-04 ; 2.050856e-03 + i 2.876593e-04 ; 4.389305e-03 + i 6.142098e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.602712e-03 + i 5.038805e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.245606e-03 + i 4.537920e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -9.947475e-02 + i -1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; -3.610117e-02 + i -5.063660e-03 ; 3.610117e-02 + i 5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; -0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; 
-8.839538e-03 + i -1.241308e-03 ; -5.597898e-03 + i -7.851783e-04 ; -5.597898e-03 + i -7.851783e-04 ; -1.345288e-02 + i -1.888389e-03 ; -1.749004e-02 + i -2.453206e-03 ; -1.749004e-02 + i -2.453206e-03 ; -1.258901e-02 + i -1.767220e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; -2.940168e-02 + i -4.125416e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.058452e-02 + i -4.289876e-03 ; -1.258901e-02 + i -1.767220e-03 ; -7.403220e-03 + i -1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.940168e-02 + i -4.125416e-03 ; -3.058452e-02 + i -4.289876e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.847845e-02 + i -2.593291e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.255325e-02 + i -1.017799e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.625928e-05 + i -6.534219e-06 ; 3.610117e-02 + i 5.063660e-03 ; 3.610117e-02 + i 5.063660e-03 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; 9.947475e-02 + i 1.395263e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-5.597898e-03 + i -7.851783e-04 ; 4.389305e-03 + i 6.142098e-04 ; -2.050856e-03 + i -2.876593e-04 ; -1.749004e-02 + i -2.453206e-03 ; 6.684361e-03 + i 9.361205e-04 ; -1.011253e-02 + i -1.418414e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.349553e-02 + i 3.294106e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; 4.906135e-03 + i 6.867017e-04 ; -0.000000e+00 + i -0.000000e+00 ; -3.058452e-02 + i -4.289876e-03 ; 5.811941e-03 + i 8.137522e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.622215e-02 + i 5.079180e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -9.947475e-02 + i -1.395263e-02 ; 3.610117e-02 + i 5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; -3.610117e-02 + i -5.063660e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.947475e-02 + i 1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.597898e-03 + i -7.851783e-04 ; -2.050856e-03 + i -2.876593e-04 ; 4.389305e-03 + i 6.142098e-04 ; -1.749004e-02 + i -2.453206e-03 ; -1.011253e-02 + i -1.418414e-03 ; 6.684361e-03 + i 9.361205e-04 ; -7.403220e-03 + i -1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.906135e-03 + i 6.867017e-04 ; -3.058452e-02 + i -4.289876e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.811941e-03 + i 8.137522e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.349553e-02 + i 3.294106e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.622215e-02 + i 5.079180e-03 ; -0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; 3.610117e-02 + i 5.063660e-03 ; -3.610117e-02 + i -5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; 9.947475e-02 + i 1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; 
-4.818164e-03 + i -6.772577e-04 ; -2.081195e-03 + i -2.919149e-04 ; -2.081195e-03 + i -2.919149e-04 ; -8.839538e-03 + i -1.241308e-03 ; -5.597898e-03 + i -7.851783e-04 ; -5.597898e-03 + i -7.851783e-04 ; -5.883227e-03 + i -8.266468e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.447709e-03 + i -3.433233e-04 ; -1.258901e-02 + i -1.767220e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; -5.883227e-03 + i -8.266468e-04 ; -2.447709e-03 + i -3.433233e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.258901e-02 + i -1.767220e-03 ; -7.403220e-03 + i -1.038398e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.255482e-03 + i -1.019124e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.847845e-02 + i -2.593291e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.625928e-05 + i -6.534219e-06 ; -3.610117e-02 + i -5.063660e-03 ; -3.610117e-02 + i -5.063660e-03 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -9.947475e-02 + i -1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-2.081195e-03 + i -2.919149e-04 ; 2.385710e-03 + i 3.331804e-04 ; -5.580296e-04 + i -7.827099e-05 ; -5.597898e-03 + i -7.851783e-04 ; 4.389305e-03 + i 6.142098e-04 ; -2.050856e-03 + i -2.876593e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.245606e-03 + i 4.537920e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.618392e-03 + i 1.067131e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.447709e-03 + i -3.433233e-04 ; 2.589303e-03 + i 3.617369e-04 ; -0.000000e+00 + i -0.000000e+00 ; -7.403220e-03 + i -1.038398e-03 ; 4.906135e-03 + i 6.867017e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.602712e-03 + i 5.038805e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.204860e-03 + i 1.289654e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.610117e-02 + i -5.063660e-03 ; -3.625928e-05 + i -6.534219e-06 ; -3.610117e-02 + i -5.063660e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.320272e-02 + i -4.658562e-03 ; -9.947475e-02 + i -1.395263e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.627204e-02 + i 9.294067e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.947475e-02 + i -1.395263e-02 ; -3.320272e-02 + i -4.658562e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.751742e-01 + i -5.262451e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.874926e-01 + i 2.629683e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.785412e+00 + i 1.101628e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
