8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; 2.479989e-02 + i -9.731147e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.920900e-05 + i -6.320956e-06 ; 9.001139e-03 + i -3.531927e-03 ; 9.001139e-03 + i -3.531927e-03 ; 4.615700e-03 + i -1.809923e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.815731e-03 + i -7.112534e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.146594e-03 + i -1.233466e-03 ; 1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i 0.000000e+00 ; 1.473225e-03 + i -5.768587e-04 ; 6.109481e-04 + i -2.397274e-04 ; -0.000000e+00 + i 0.000000e+00 ; 3.146594e-03 + i -1.233466e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; 1.473225e-03 + i -5.768587e-04 ; -0.000000e+00 + i 0.000000e+00 ; 6.109481e-04 + i -2.397274e-04 ; 2.211156e-03 + i -8.664127e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.207353e-03 + i -4.725344e-04 ; 5.195134e-04 + i -2.038497e-04 ; 5.195134e-04 + i -2.038497e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.053320e-04 + i 3.172148e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.942278e-04 + i 3.520966e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -5.195134e-04 + i 2.038497e-04 ; -1.392968e-04 + i 5.465810e-05 ; -5.908975e-04 + i 2.330734e-04 ; -1.396543e-03 + i 5.479847e-04 ; -5.116402e-04 + i 2.007607e-04 ; -1.089127e-03 + i 4.285739e-04 ; -6.109481e-04 + i 2.397274e-04 ; -0.000000e+00 + i 0.000000e+00 ; -6.415189e-04 + i 2.529368e-04 ; -1.846761e-03 + i 7.246442e-04 ; -0.000000e+00 + i 0.000000e+00 ; -1.217636e-03 + i 4.789990e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -9.001139e-03 + i 3.531927e-03 ; -9.001139e-03 + i 3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -0.000000e+00 + i 0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; 
3.146594e-03 + i -1.233466e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; 7.340273e-03 + i -2.879009e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.626348e-03 + i -2.992477e-03 ; 2.211156e-03 + i -8.664127e-04 ; -1.396543e-03 + i 5.479847e-04 ; 1.396543e-03 + i -5.479847e-04 ; 3.362796e-03 + i -1.318300e-03 ; -4.361592e-03 + i 1.711430e-03 ; 4.361592e-03 + i -1.711430e-03 ; 4.615700e-03 + i -1.809923e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809993e-02 + i -7.100957e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.146594e-03 + i -1.233466e-03 ; -1.846761e-03 + i 7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; 7.340273e-03 + i -2.879009e-03 ; -7.626348e-03 + i 2.992477e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.920900e-05 + i -6.320956e-06 ; 9.001139e-03 + i -3.531927e-03 ; -9.001139e-03 + i 3.531927e-03 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; 2.479989e-02 + i -9.731147e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.849817e-03 + i 2.296606e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.396543e-03 + i 5.479847e-04 ; -1.089127e-03 + i 4.285739e-04 ; -5.116402e-04 + i 2.007607e-04 ; -4.361592e-03 + i 1.711430e-03 ; -1.658943e-03 + i 6.521631e-04 ; -2.521819e-03 + i 9.895280e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.021113e-03 + i 3.540981e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.846761e-03 + i 7.246442e-04 ; -1.217636e-03 + i 4.789990e-04 ; -0.000000e+00 + i 0.000000e+00 ; -7.626348e-03 + i 2.992477e-03 ; -1.440356e-03 + i 5.663927e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -2.479989e-02 + i 9.731147e-03 ; 9.001139e-03 + i -3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -9.001139e-03 + i 3.531927e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.217636e-03 + i 4.789990e-04 ; 7.626348e-03 + i -2.992477e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.440356e-03 + i 5.663927e-04 ; 1.396543e-03 + i -5.479847e-04 ; -5.116402e-04 + i 2.007607e-04 ; -1.089127e-03 + i 4.285739e-04 ; 4.361592e-03 + i -1.711430e-03 ; -2.521819e-03 + i 9.895280e-04 ; -1.658943e-03 + i 6.521631e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.021113e-03 + i 3.540981e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.849817e-03 + i 2.296606e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -9.001139e-03 + i 3.531927e-03 ; -9.001139e-03 + i 3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; 
1.473225e-03 + i -5.768587e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.109481e-04 + i -2.397274e-04 ; 3.146594e-03 + i -1.233466e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; 1.207353e-03 + i -4.725344e-04 ; -5.195134e-04 + i 2.038497e-04 ; 5.195134e-04 + i -2.038497e-04 ; 2.211156e-03 + i -8.664127e-04 ; -1.396543e-03 + i 5.479847e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.815731e-03 + i -7.112534e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.615700e-03 + i -1.809923e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.473225e-03 + i -5.768587e-04 ; -6.109481e-04 + i 2.397274e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.146594e-03 + i -1.233466e-03 ; -1.846761e-03 + i 7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.920900e-05 + i -6.320956e-06 ; -9.001139e-03 + i 3.531927e-03 ; 9.001139e-03 + i -3.531927e-03 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -8.053320e-04 + i 3.172148e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -5.195134e-04 + i 2.038497e-04 ; -5.908975e-04 + i 2.330734e-04 ; -1.392968e-04 + i 5.465810e-05 ; -1.396543e-03 + i 5.479847e-04 ; -1.089127e-03 + i 4.285739e-04 ; -5.116402e-04 + i 2.007607e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.942278e-04 + i 3.520966e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.109481e-04 + i 2.397274e-04 ; -6.415189e-04 + i 2.529368e-04 ; -0.000000e+00 + i 0.000000e+00 ; -1.846761e-03 + i 7.246442e-04 ; -1.217636e-03 + i 4.789990e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.001139e-03 + i 3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -9.001139e-03 + i 3.531927e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
6.109481e-04 + i -2.397274e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.415189e-04 + i 2.529368e-04 ; 1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.217636e-03 + i 4.789990e-04 ; 5.195134e-04 + i -2.038497e-04 ; -1.392968e-04 + i 5.465810e-05 ; -5.908975e-04 + i 2.330734e-04 ; 1.396543e-03 + i -5.479847e-04 ; -5.116402e-04 + i 2.007607e-04 ; -1.089127e-03 + i 4.285739e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.942278e-04 + i 3.520966e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.053320e-04 + i 3.172148e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; 2.479989e-02 + i -9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; 9.001139e-03 + i -3.531927e-03 ; -9.001139e-03 + i 3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -0.000000e+00 + i -0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; 
2.211156e-03 + i -8.664127e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.396543e-03 + i -5.479847e-04 ; 3.362796e-03 + i -1.318300e-03 ; 4.361592e-03 + i -1.711430e-03 ; 4.361592e-03 + i -1.711430e-03 ; 3.146594e-03 + i -1.233466e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; 7.340273e-03 + i -2.879009e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.626348e-03 + i -2.992477e-03 ; 3.146594e-03 + i -1.233466e-03 ; 1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; 7.340273e-03 + i -2.879009e-03 ; 7.626348e-03 + i -2.992477e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.615700e-03 + i -1.809923e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809993e-02 + i -7.100957e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.920900e-05 + i -6.320956e-06 ; -9.001139e-03 + i 3.531927e-03 ; -9.001139e-03 + i 3.531927e-03 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i 0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
1.396543e-03 + i -5.479847e-04 ; -1.089127e-03 + i 4.285739e-04 ; 5.116402e-04 + i -2.007607e-04 ; 4.361592e-03 + i -1.711430e-03 ; -1.658943e-03 + i 6.521631e-04 ; 2.521819e-03 + i -9.895280e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.849817e-03 + i 2.296606e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; -1.217636e-03 + i 4.789990e-04 ; -0.000000e+00 + i -0.000000e+00 ; 7.626348e-03 + i -2.992477e-03 ; -1.440356e-03 + i 5.663927e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.021113e-03 + i 3.540981e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; 2.479989e-02 + i -9.731147e-03 ; -9.001139e-03 + i 3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; 9.001139e-03 + i -3.531927e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.479989e-02 + i 9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
1.396543e-03 + i -5.479847e-04 ; 5.116402e-04 + i -2.007607e-04 ; -1.089127e-03 + i 4.285739e-04 ; 4.361592e-03 + i -1.711430e-03 ; 2.521819e-03 + i -9.895280e-04 ; -1.658943e-03 + i 6.521631e-04 ; 1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.217636e-03 + i 4.789990e-04 ; 7.626348e-03 + i -2.992477e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.440356e-03 + i 5.663927e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.849817e-03 + i 2.296606e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.021113e-03 + i 3.540981e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -9.001139e-03 + i 3.531927e-03 ; 9.001139e-03 + i -3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -2.479989e-02 + i 9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; 
1.207353e-03 + i -4.725344e-04 ; 5.195134e-04 + i -2.038497e-04 ; 5.195134e-04 + i -2.038497e-04 ; 2.211156e-03 + i -8.664127e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.396543e-03 + i -5.479847e-04 ; 1.473225e-03 + i -5.768587e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.109481e-04 + i -2.397274e-04 ; 3.146594e-03 + i -1.233466e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; 1.473225e-03 + i -5.768587e-04 ; 6.109481e-04 + i -2.397274e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.146594e-03 + i -1.233466e-03 ; 1.846761e-03 + i -7.246442e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.815731e-03 + i -7.112534e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.615700e-03 + i -1.809923e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.920900e-05 + i -6.320956e-06 ; 9.001139e-03 + i -3.531927e-03 ; 9.001139e-03 + i -3.531927e-03 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; 2.479989e-02 + i -9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
5.195134e-04 + i -2.038497e-04 ; -5.908975e-04 + i 2.330734e-04 ; 1.392968e-04 + i -5.465810e-05 ; 1.396543e-03 + i -5.479847e-04 ; -1.089127e-03 + i 4.285739e-04 ; 5.116402e-04 + i -2.007607e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.053320e-04 + i 3.172148e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.894218e-03 + i 7.444810e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.109481e-04 + i -2.397274e-04 ; -6.415189e-04 + i 2.529368e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.846761e-03 + i -7.246442e-04 ; -1.217636e-03 + i 4.789990e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.942278e-04 + i 3.520966e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.289382e-03 + i 8.995380e-04 ; -0.000000e+00 + i -0.000000e+00 ; 9.001139e-03 + i -3.531927e-03 ; 1.920900e-05 + i -6.320956e-06 ; 9.001139e-03 + i -3.531927e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.290076e-03 + i -3.251699e-03 ; 2.479989e-02 + i -9.731147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.650982e-02 + i 6.479448e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.479989e-02 + i -9.731147e-03 ; 8.290076e-03 + i -3.251699e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.354294e-02 + i -3.670378e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.672197e-02 + i 1.833429e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.042666e-01 + i 7.680437e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
