3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -2.663124e-01 + i -1.117412e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.136334e-05 + i -9.426698e-06 ; -9.664321e-02 + i -4.055023e-02 ; -9.664321e-02 + i -4.055023e-02 ; -4.940471e-02 + i -2.073003e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.937425e-02 + i -8.129646e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.364397e-02 + i -1.411703e-02 ; -1.981139e-02 + i -8.312602e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.570353e-02 + i -6.589457e-03 ; -6.547409e-03 + i -2.747207e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.364397e-02 + i -1.411703e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; -1.570353e-02 + i -6.589457e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.547409e-03 + i -2.747207e-03 ; -2.361111e-02 + i -9.907377e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.285482e-02 + i -5.394179e-03 ; -5.566649e-03 + i -2.335693e-03 ; -5.566649e-03 + i -2.335693e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.715312e-03 + i 3.656368e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.672387e-03 + i 4.057944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; 5.566649e-03 + i 2.335693e-03 ; 1.492582e-03 + i 6.262681e-04 ; 6.413647e-03 + i 2.690619e-03 ; 1.497928e-02 + i 6.285108e-03 ; 5.487834e-03 + i 2.302623e-03 ; 1.178762e-02 + i 4.945467e-03 ; 6.547409e-03 + i 2.747207e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.959759e-03 + i 2.919761e-03 ; 1.981139e-02 + i 8.312602e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.317393e-02 + i 5.527145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; 9.664321e-02 + i 4.055023e-02 ; 9.664321e-02 + i 4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; 0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; 2.663124e-01 + i 1.117412e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 
-3.364397e-02 + i -1.411703e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; -7.863790e-02 + i -3.299590e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.186972e-02 + i -3.435146e-02 ; -2.361111e-02 + i -9.907377e-03 ; 1.497928e-02 + i 6.285108e-03 ; -1.497928e-02 + i -6.285108e-03 ; -3.595021e-02 + i -1.508470e-02 ; 4.681489e-02 + i 1.964292e-02 ; -4.681489e-02 + i -1.964292e-02 ; -4.940471e-02 + i -2.073003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.941501e-01 + i -8.146329e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.364397e-02 + i -1.411703e-02 ; 1.981139e-02 + i 8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.863790e-02 + i -3.299590e-02 ; 8.186972e-02 + i 3.435146e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.136334e-05 + i -9.426698e-06 ; -9.664321e-02 + i -4.055023e-02 ; 9.664321e-02 + i 4.055023e-02 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -2.663124e-01 + i -1.117412e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.295924e-02 + i 2.641641e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.497928e-02 + i 6.285108e-03 ; 1.178762e-02 + i 4.945467e-03 ; 5.487834e-03 + i 2.302623e-03 ; 4.681489e-02 + i 1.964292e-02 ; 1.795032e-02 + i 7.531257e-03 ; 2.706779e-02 + i 1.135729e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.704294e-02 + i 4.071749e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.981139e-02 + i 8.312602e-03 ; 1.317393e-02 + i 5.527145e-03 ; 0.000000e+00 + i -0.000000e+00 ; 8.186972e-02 + i 3.435146e-02 ; 1.562317e-02 + i 6.554815e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 2.663124e-01 + i 1.117412e-01 ; -9.664321e-02 + i -4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; 9.664321e-02 + i 4.055023e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.981139e-02 + i -8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.317393e-02 + i 5.527145e-03 ; -8.186972e-02 + i -3.435146e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.562317e-02 + i 6.554815e-03 ; -1.497928e-02 + i -6.285108e-03 ; 5.487834e-03 + i 2.302623e-03 ; 1.178762e-02 + i 4.945467e-03 ; -4.681489e-02 + i -1.964292e-02 ; 2.706779e-02 + i 1.135729e-02 ; 1.795032e-02 + i 7.531257e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.704294e-02 + i 4.071749e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.295924e-02 + i 2.641641e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 2.663124e-01 + i 1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; 9.664321e-02 + i 4.055023e-02 ; 9.664321e-02 + i 4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; 
-1.570353e-02 + i -6.589457e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.547409e-03 + i -2.747207e-03 ; -3.364397e-02 + i -1.411703e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; -1.285482e-02 + i -5.394179e-03 ; 5.566649e-03 + i 2.335693e-03 ; -5.566649e-03 + i -2.335693e-03 ; -2.361111e-02 + i -9.907377e-03 ; 1.497928e-02 + i 6.285108e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.937425e-02 + i -8.129646e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.940471e-02 + i -2.073003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.570353e-02 + i -6.589457e-03 ; 6.547409e-03 + i 2.747207e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.364397e-02 + i -1.411703e-02 ; 1.981139e-02 + i 8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.136334e-05 + i -9.426698e-06 ; 9.664321e-02 + i 4.055023e-02 ; -9.664321e-02 + i -4.055023e-02 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 2.663124e-01 + i 1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 8.715312e-03 + i 3.656368e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.566649e-03 + i 2.335693e-03 ; 6.413647e-03 + i 2.690619e-03 ; 1.492582e-03 + i 6.262681e-04 ; 1.497928e-02 + i 6.285108e-03 ; 1.178762e-02 + i 4.945467e-03 ; 5.487834e-03 + i 2.302623e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.672387e-03 + i 4.057944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.547409e-03 + i 2.747207e-03 ; 6.959759e-03 + i 2.919761e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.981139e-02 + i 8.312602e-03 ; 1.317393e-02 + i 5.527145e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.664321e-02 + i 4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; 9.664321e-02 + i 4.055023e-02 ; 0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 2.663124e-01 + i 1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.547409e-03 + i -2.747207e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.959759e-03 + i 2.919761e-03 ; -1.981139e-02 + i -8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.317393e-02 + i 5.527145e-03 ; -5.566649e-03 + i -2.335693e-03 ; 1.492582e-03 + i 6.262681e-04 ; 6.413647e-03 + i 2.690619e-03 ; -1.497928e-02 + i -6.285108e-03 ; 5.487834e-03 + i 2.302623e-03 ; 1.178762e-02 + i 4.945467e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.672387e-03 + i 4.057944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.715312e-03 + i 3.656368e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -2.663124e-01 + i -1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; -9.664321e-02 + i -4.055023e-02 ; 9.664321e-02 + i 4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; -0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; 
-2.361111e-02 + i -9.907377e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.497928e-02 + i -6.285108e-03 ; -3.595021e-02 + i -1.508470e-02 ; -4.681489e-02 + i -1.964292e-02 ; -4.681489e-02 + i -1.964292e-02 ; -3.364397e-02 + i -1.411703e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; -7.863790e-02 + i -3.299590e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.186972e-02 + i -3.435146e-02 ; -3.364397e-02 + i -1.411703e-02 ; -1.981139e-02 + i -8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; -7.863790e-02 + i -3.299590e-02 ; -8.186972e-02 + i -3.435146e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.940471e-02 + i -2.073003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.941501e-01 + i -8.146329e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.136334e-05 + i -9.426698e-06 ; 9.664321e-02 + i 4.055023e-02 ; 9.664321e-02 + i 4.055023e-02 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; 2.663124e-01 + i 1.117412e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.497928e-02 + i -6.285108e-03 ; 1.178762e-02 + i 4.945467e-03 ; -5.487834e-03 + i -2.302623e-03 ; -4.681489e-02 + i -1.964292e-02 ; 1.795032e-02 + i 7.531257e-03 ; -2.706779e-02 + i -1.135729e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.295924e-02 + i 2.641641e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; 1.317393e-02 + i 5.527145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.186972e-02 + i -3.435146e-02 ; 1.562317e-02 + i 6.554815e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.704294e-02 + i 4.071749e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -2.663124e-01 + i -1.117412e-01 ; 9.664321e-02 + i 4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; -9.664321e-02 + i -4.055023e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.663124e-01 + i 1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.497928e-02 + i -6.285108e-03 ; -5.487834e-03 + i -2.302623e-03 ; 1.178762e-02 + i 4.945467e-03 ; -4.681489e-02 + i -1.964292e-02 ; -2.706779e-02 + i -1.135729e-02 ; 1.795032e-02 + i 7.531257e-03 ; -1.981139e-02 + i -8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.317393e-02 + i 5.527145e-03 ; -8.186972e-02 + i -3.435146e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.562317e-02 + i 6.554815e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.295924e-02 + i 2.641641e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.704294e-02 + i 4.071749e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; 9.664321e-02 + i 4.055023e-02 ; -9.664321e-02 + i -4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; 2.663124e-01 + i 1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; 
-1.285482e-02 + i -5.394179e-03 ; -5.566649e-03 + i -2.335693e-03 ; -5.566649e-03 + i -2.335693e-03 ; -2.361111e-02 + i -9.907377e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.497928e-02 + i -6.285108e-03 ; -1.570353e-02 + i -6.589457e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.547409e-03 + i -2.747207e-03 ; -3.364397e-02 + i -1.411703e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; -1.570353e-02 + i -6.589457e-03 ; -6.547409e-03 + i -2.747207e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.364397e-02 + i -1.411703e-02 ; -1.981139e-02 + i -8.312602e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.937425e-02 + i -8.129646e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.940471e-02 + i -2.073003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.136334e-05 + i -9.426698e-06 ; -9.664321e-02 + i -4.055023e-02 ; -9.664321e-02 + i -4.055023e-02 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -2.663124e-01 + i -1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.566649e-03 + i -2.335693e-03 ; 6.413647e-03 + i 2.690619e-03 ; -1.492582e-03 + i -6.262681e-04 ; -1.497928e-02 + i -6.285108e-03 ; 1.178762e-02 + i 4.945467e-03 ; -5.487834e-03 + i -2.302623e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.715312e-03 + i 3.656368e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.043207e-02 + i 8.572565e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.547409e-03 + i -2.747207e-03 ; 6.959759e-03 + i 2.919761e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.981139e-02 + i -8.312602e-03 ; 1.317393e-02 + i 5.527145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.672387e-03 + i 4.057944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.468211e-02 + i 1.035583e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.664321e-02 + i -4.055023e-02 ; -2.136334e-05 + i -9.426698e-06 ; -9.664321e-02 + i -4.055023e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.879701e-02 + i -3.725853e-02 ; -2.663124e-01 + i -1.117412e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.775154e-01 + i 7.448268e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.663124e-01 + i -1.117412e-01 ; -8.879701e-02 + i -3.725853e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.004346e+00 + i -4.214107e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.021171e-01 + i 2.106813e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.103290e+00 + i 8.825123e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
