5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; 5.415349e-02 + i -1.996283e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.784864e-05 + i -1.170395e-05 ; 1.965472e-02 + i -7.245402e-03 ; 1.965472e-02 + i -7.245402e-03 ; 1.007536e-02 + i -3.711874e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.962099e-03 + i -1.458319e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 6.867722e-03 + i -2.529430e-03 ; 4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i 0.000000e+00 ; 3.214355e-03 + i -1.182675e-03 ; 1.333788e-03 + i -4.916792e-04 ; -0.000000e+00 + i 0.000000e+00 ; 6.867722e-03 + i -2.529430e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; 3.214355e-03 + i -1.182675e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.333788e-03 + i -4.916792e-04 ; 4.825352e-03 + i -1.776543e-03 ; 3.049136e-03 + i -1.124016e-03 ; 3.049136e-03 + i -1.124016e-03 ; 2.633931e-03 + i -9.687117e-04 ; 1.134154e-03 + i -4.180871e-04 ; 1.134154e-03 + i -4.180871e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.760064e-03 + i 6.510629e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.954233e-03 + i 7.226406e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -1.134154e-03 + i 4.180871e-04 ; -3.041000e-04 + i 1.121015e-04 ; -1.291843e-03 + i 4.784605e-04 ; -3.049136e-03 + i 1.124016e-03 ; -1.117087e-03 + i 4.117964e-04 ; -2.380308e-03 + i 8.797085e-04 ; -1.333788e-03 + i 4.916792e-04 ; -0.000000e+00 + i 0.000000e+00 ; -1.402436e-03 + i 5.192293e-04 ; -4.032185e-03 + i 1.486401e-03 ; -0.000000e+00 + i 0.000000e+00 ; -2.661059e-03 + i 9.832035e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -1.965472e-02 + i 7.245402e-03 ; -1.965472e-02 + i 7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -0.000000e+00 + i 0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i 0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; 
6.867722e-03 + i -2.529430e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; 1.602425e-02 + i -5.904838e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.665247e-02 + i -6.138672e-03 ; 4.825352e-03 + i -1.776543e-03 ; -3.049136e-03 + i 1.124016e-03 ; 3.049136e-03 + i -1.124016e-03 ; 7.339486e-03 + i -2.703338e-03 ; -9.523574e-03 + i 3.510715e-03 ; 9.523574e-03 + i -3.510715e-03 ; 1.007536e-02 + i -3.711874e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.951859e-02 + i -1.456566e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.867722e-03 + i -2.529430e-03 ; -4.032185e-03 + i 1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.602425e-02 + i -5.904838e-03 ; -1.665247e-02 + i 6.138672e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.784864e-05 + i -1.170395e-05 ; 1.965472e-02 + i -7.245402e-03 ; -1.965472e-02 + i 7.245402e-03 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; 5.415349e-02 + i -1.996283e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.277691e-02 + i 4.712254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.049136e-03 + i 1.124016e-03 ; -2.380308e-03 + i 8.797085e-04 ; -1.117087e-03 + i 4.117964e-04 ; -9.523574e-03 + i 3.510715e-03 ; -3.625524e-03 + i 1.338740e-03 ; -5.506413e-03 + i 2.029852e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.970244e-02 + i 7.265242e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.032185e-03 + i 1.486401e-03 ; -2.661059e-03 + i 9.832035e-04 ; -0.000000e+00 + i 0.000000e+00 ; -1.665247e-02 + i 6.138672e-03 ; -3.148653e-03 + i 1.162949e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -5.415349e-02 + i 1.996283e-02 ; 1.965472e-02 + i -7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -1.965472e-02 + i 7.245402e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i 0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; 
4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.661059e-03 + i 9.832035e-04 ; 1.665247e-02 + i -6.138672e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.148653e-03 + i 1.162949e-03 ; 3.049136e-03 + i -1.124016e-03 ; -1.117087e-03 + i 4.117964e-04 ; -2.380308e-03 + i 8.797085e-04 ; 9.523574e-03 + i -3.510715e-03 ; -5.506413e-03 + i 2.029852e-03 ; -3.625524e-03 + i 1.338740e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.970244e-02 + i 7.265242e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.277691e-02 + i 4.712254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -1.965472e-02 + i 7.245402e-03 ; -1.965472e-02 + i 7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; 
3.214355e-03 + i -1.182675e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.333788e-03 + i -4.916792e-04 ; 6.867722e-03 + i -2.529430e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; 2.633931e-03 + i -9.687117e-04 ; -1.134154e-03 + i 4.180871e-04 ; 1.134154e-03 + i -4.180871e-04 ; 4.825352e-03 + i -1.776543e-03 ; -3.049136e-03 + i 1.124016e-03 ; 3.049136e-03 + i -1.124016e-03 ; 3.962099e-03 + i -1.458319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.007536e-02 + i -3.711874e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.214355e-03 + i -1.182675e-03 ; -1.333788e-03 + i 4.916792e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.867722e-03 + i -2.529430e-03 ; -4.032185e-03 + i 1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.784864e-05 + i -1.170395e-05 ; -1.965472e-02 + i 7.245402e-03 ; 1.965472e-02 + i -7.245402e-03 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.760064e-03 + i 6.510629e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.134154e-03 + i 4.180871e-04 ; -1.291843e-03 + i 4.784605e-04 ; -3.041000e-04 + i 1.121015e-04 ; -3.049136e-03 + i 1.124016e-03 ; -2.380308e-03 + i 8.797085e-04 ; -1.117087e-03 + i 4.117964e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.954233e-03 + i 7.226406e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.333788e-03 + i 4.916792e-04 ; -1.402436e-03 + i 5.192293e-04 ; -0.000000e+00 + i 0.000000e+00 ; -4.032185e-03 + i 1.486401e-03 ; -2.661059e-03 + i 9.832035e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.965472e-02 + i 7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -1.965472e-02 + i 7.245402e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i 0.000000e+00 ; 
1.333788e-03 + i -4.916792e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.402436e-03 + i 5.192293e-04 ; 4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.661059e-03 + i 9.832035e-04 ; 1.134154e-03 + i -4.180871e-04 ; -3.041000e-04 + i 1.121015e-04 ; -1.291843e-03 + i 4.784605e-04 ; 3.049136e-03 + i -1.124016e-03 ; -1.117087e-03 + i 4.117964e-04 ; -2.380308e-03 + i 8.797085e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.954233e-03 + i 7.226406e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.760064e-03 + i 6.510629e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; 5.415349e-02 + i -1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; 1.965472e-02 + i -7.245402e-03 ; -1.965472e-02 + i 7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -0.000000e+00 + i -0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; 
4.825352e-03 + i -1.776543e-03 ; 3.049136e-03 + i -1.124016e-03 ; 3.049136e-03 + i -1.124016e-03 ; 7.339486e-03 + i -2.703338e-03 ; 9.523574e-03 + i -3.510715e-03 ; 9.523574e-03 + i -3.510715e-03 ; 6.867722e-03 + i -2.529430e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; 1.602425e-02 + i -5.904838e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.665247e-02 + i -6.138672e-03 ; 6.867722e-03 + i -2.529430e-03 ; 4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.602425e-02 + i -5.904838e-03 ; 1.665247e-02 + i -6.138672e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.007536e-02 + i -3.711874e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.951859e-02 + i -1.456566e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.784864e-05 + i -1.170395e-05 ; -1.965472e-02 + i 7.245402e-03 ; -1.965472e-02 + i 7.245402e-03 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i 0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i 0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 
3.049136e-03 + i -1.124016e-03 ; -2.380308e-03 + i 8.797085e-04 ; 1.117087e-03 + i -4.117964e-04 ; 9.523574e-03 + i -3.510715e-03 ; -3.625524e-03 + i 1.338740e-03 ; 5.506413e-03 + i -2.029852e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.277691e-02 + i 4.712254e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; -2.661059e-03 + i 9.832035e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.665247e-02 + i -6.138672e-03 ; -3.148653e-03 + i 1.162949e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.970244e-02 + i 7.265242e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; 5.415349e-02 + i -1.996283e-02 ; -1.965472e-02 + i 7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; 1.965472e-02 + i -7.245402e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.415349e-02 + i 1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
3.049136e-03 + i -1.124016e-03 ; 1.117087e-03 + i -4.117964e-04 ; -2.380308e-03 + i 8.797085e-04 ; 9.523574e-03 + i -3.510715e-03 ; 5.506413e-03 + i -2.029852e-03 ; -3.625524e-03 + i 1.338740e-03 ; 4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.661059e-03 + i 9.832035e-04 ; 1.665247e-02 + i -6.138672e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.148653e-03 + i 1.162949e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.277691e-02 + i 4.712254e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.970244e-02 + i 7.265242e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -1.965472e-02 + i 7.245402e-03 ; 1.965472e-02 + i -7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -5.415349e-02 + i 1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; 
2.633931e-03 + i -9.687117e-04 ; 1.134154e-03 + i -4.180871e-04 ; 1.134154e-03 + i -4.180871e-04 ; 4.825352e-03 + i -1.776543e-03 ; 3.049136e-03 + i -1.124016e-03 ; 3.049136e-03 + i -1.124016e-03 ; 3.214355e-03 + i -1.182675e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.333788e-03 + i -4.916792e-04 ; 6.867722e-03 + i -2.529430e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; 3.214355e-03 + i -1.182675e-03 ; 1.333788e-03 + i -4.916792e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.867722e-03 + i -2.529430e-03 ; 4.032185e-03 + i -1.486401e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.962099e-03 + i -1.458319e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.007536e-02 + i -3.711874e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.784864e-05 + i -1.170395e-05 ; 1.965472e-02 + i -7.245402e-03 ; 1.965472e-02 + i -7.245402e-03 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; 5.415349e-02 + i -1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
1.134154e-03 + i -4.180871e-04 ; -1.291843e-03 + i 4.784605e-04 ; 3.041000e-04 + i -1.121015e-04 ; 3.049136e-03 + i -1.124016e-03 ; -2.380308e-03 + i 8.797085e-04 ; 1.117087e-03 + i -4.117964e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.760064e-03 + i 6.510629e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.138298e-03 + i 1.527764e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.333788e-03 + i -4.916792e-04 ; -1.402436e-03 + i 5.192293e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.032185e-03 + i -1.486401e-03 ; -2.661059e-03 + i 9.832035e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.954233e-03 + i 7.226406e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.001327e-03 + i 1.845907e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.965472e-02 + i -7.245402e-03 ; 3.784864e-05 + i -1.170395e-05 ; 1.965472e-02 + i -7.245402e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.809738e-02 + i -6.669064e-03 ; 5.415349e-02 + i -1.996283e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.605611e-02 + i 1.329377e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.415349e-02 + i -1.996283e-02 ; 1.809738e-02 + i -6.669064e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.042585e-01 + i -7.529442e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.020316e-01 + i 3.761460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.725622e-01 + i 1.575705e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
