3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -2.595540e-01 + i -3.483166e-01 ; 0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.267959e-04 + i -1.877592e-04 ; -9.420017e-02 + i -1.264149e-01 ; -9.420017e-02 + i -1.264149e-01 ; -4.824162e-02 + i -6.475695e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.894995e-02 + i -2.544807e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.287125e-02 + i -4.413020e-02 ; -1.932126e-02 + i -2.592877e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.536779e-02 + i -2.064087e-02 ; -6.389613e-03 + i -8.574746e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.287125e-02 + i -4.413020e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; -1.536779e-02 + i -2.064087e-02 ; 0.000000e+00 + i -0.000000e+00 ; -6.389613e-03 + i -8.574746e-03 ; -2.308523e-02 + i -3.099754e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.258736e-02 + i -1.690959e-02 ; -5.433042e-03 + i -7.291045e-03 ; -5.433042e-03 + i -7.291045e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.462546e-03 + i 1.133901e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.393774e-03 + i 1.258870e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; 5.433042e-03 + i 7.291045e-03 ; 1.456758e-03 + i 1.954944e-03 ; 6.218637e-03 + i 8.327726e-03 ; 1.461017e-02 + i 1.960657e-02 ; 5.352607e-03 + i 7.183100e-03 ; 1.144123e-02 + i 1.533633e-02 ; 6.389613e-03 + i 8.574746e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.749303e-03 + i 9.039867e-03 ; 1.932126e-02 + i 2.592877e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.278836e-02 + i 1.714415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; 9.420017e-02 + i 1.264149e-01 ; 9.420017e-02 + i 1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; 2.595540e-01 + i 3.483166e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 
-3.287125e-02 + i -4.413020e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; -7.674845e-02 + i -1.030126e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.980816e-02 + i -1.071011e-01 ; -2.308523e-02 + i -3.099754e-02 ; 1.461017e-02 + i 1.960657e-02 ; -1.461017e-02 + i -1.960657e-02 ; -3.512872e-02 + i -4.715969e-02 ; 4.564067e-02 + i 6.124892e-02 ; -4.564067e-02 + i -6.124892e-02 ; -4.824162e-02 + i -6.475695e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.893481e-01 + i -2.541192e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.287125e-02 + i -4.413020e-02 ; 1.932126e-02 + i 2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.674845e-02 + i -1.030126e-01 ; 7.980816e-02 + i 1.071011e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.267959e-04 + i -1.877592e-04 ; -9.420017e-02 + i -1.264149e-01 ; 9.420017e-02 + i 1.264149e-01 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -2.595540e-01 + i -3.483166e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.128313e-02 + i 8.222321e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.461017e-02 + i 1.960657e-02 ; 1.144123e-02 + i 1.533633e-02 ; 5.352607e-03 + i 7.183100e-03 ; 4.564067e-02 + i 6.124892e-02 ; 1.741986e-02 + i 2.335953e-02 ; 2.638887e-02 + i 3.541337e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.448358e-02 + i 1.267776e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.932126e-02 + i 2.592877e-02 ; 1.278836e-02 + i 1.714415e-02 ; 0.000000e+00 + i -0.000000e+00 ; 7.980816e-02 + i 1.071011e-01 ; 1.513903e-02 + i 2.029869e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 2.595540e-01 + i 3.483166e-01 ; -9.420017e-02 + i -1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; 9.420017e-02 + i 1.264149e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.932126e-02 + i -2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.278836e-02 + i 1.714415e-02 ; -7.980816e-02 + i -1.071011e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.513903e-02 + i 2.029869e-02 ; -1.461017e-02 + i -1.960657e-02 ; 5.352607e-03 + i 7.183100e-03 ; 1.144123e-02 + i 1.533633e-02 ; -4.564067e-02 + i -6.124892e-02 ; 2.638887e-02 + i 3.541337e-02 ; 1.741986e-02 + i 2.335953e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.448358e-02 + i 1.267776e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.128313e-02 + i 8.222321e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 2.595540e-01 + i 3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; 9.420017e-02 + i 1.264149e-01 ; 9.420017e-02 + i 1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; 
-1.536779e-02 + i -2.064087e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.389613e-03 + i -8.574746e-03 ; -3.287125e-02 + i -4.413020e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; -1.258736e-02 + i -1.690959e-02 ; 5.433042e-03 + i 7.291045e-03 ; -5.433042e-03 + i -7.291045e-03 ; -2.308523e-02 + i -3.099754e-02 ; 1.461017e-02 + i 1.960657e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.894995e-02 + i -2.544807e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.824162e-02 + i -6.475695e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.536779e-02 + i -2.064087e-02 ; 6.389613e-03 + i 8.574746e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.287125e-02 + i -4.413020e-02 ; 1.932126e-02 + i 2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.267959e-04 + i -1.877592e-04 ; 9.420017e-02 + i 1.264149e-01 ; -9.420017e-02 + i -1.264149e-01 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 2.595540e-01 + i 3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 8.462546e-03 + i 1.133901e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.433042e-03 + i 7.291045e-03 ; 6.218637e-03 + i 8.327726e-03 ; 1.456758e-03 + i 1.954944e-03 ; 1.461017e-02 + i 1.960657e-02 ; 1.144123e-02 + i 1.533633e-02 ; 5.352607e-03 + i 7.183100e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.393774e-03 + i 1.258870e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.389613e-03 + i 8.574746e-03 ; 6.749303e-03 + i 9.039867e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.932126e-02 + i 2.592877e-02 ; 1.278836e-02 + i 1.714415e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.420017e-02 + i 1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; 9.420017e-02 + i 1.264149e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 2.595540e-01 + i 3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.389613e-03 + i -8.574746e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.749303e-03 + i 9.039867e-03 ; -1.932126e-02 + i -2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.278836e-02 + i 1.714415e-02 ; -5.433042e-03 + i -7.291045e-03 ; 1.456758e-03 + i 1.954944e-03 ; 6.218637e-03 + i 8.327726e-03 ; -1.461017e-02 + i -1.960657e-02 ; 5.352607e-03 + i 7.183100e-03 ; 1.144123e-02 + i 1.533633e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.393774e-03 + i 1.258870e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.462546e-03 + i 1.133901e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -2.595540e-01 + i -3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; -9.420017e-02 + i -1.264149e-01 ; 9.420017e-02 + i 1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; 
-2.308523e-02 + i -3.099754e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.461017e-02 + i -1.960657e-02 ; -3.512872e-02 + i -4.715969e-02 ; -4.564067e-02 + i -6.124892e-02 ; -4.564067e-02 + i -6.124892e-02 ; -3.287125e-02 + i -4.413020e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; -7.674845e-02 + i -1.030126e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.980816e-02 + i -1.071011e-01 ; -3.287125e-02 + i -4.413020e-02 ; -1.932126e-02 + i -2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.674845e-02 + i -1.030126e-01 ; -7.980816e-02 + i -1.071011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -4.824162e-02 + i -6.475695e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.893481e-01 + i -2.541192e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.267959e-04 + i -1.877592e-04 ; 9.420017e-02 + i 1.264149e-01 ; 9.420017e-02 + i 1.264149e-01 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; 2.595540e-01 + i 3.483166e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.461017e-02 + i -1.960657e-02 ; 1.144123e-02 + i 1.533633e-02 ; -5.352607e-03 + i -7.183100e-03 ; -4.564067e-02 + i -6.124892e-02 ; 1.741986e-02 + i 2.335953e-02 ; -2.638887e-02 + i -3.541337e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.128313e-02 + i 8.222321e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; 1.278836e-02 + i 1.714415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.980816e-02 + i -1.071011e-01 ; 1.513903e-02 + i 2.029869e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.448358e-02 + i 1.267776e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -2.595540e-01 + i -3.483166e-01 ; 9.420017e-02 + i 1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; -9.420017e-02 + i -1.264149e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.595540e-01 + i 3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.461017e-02 + i -1.960657e-02 ; -5.352607e-03 + i -7.183100e-03 ; 1.144123e-02 + i 1.533633e-02 ; -4.564067e-02 + i -6.124892e-02 ; -2.638887e-02 + i -3.541337e-02 ; 1.741986e-02 + i 2.335953e-02 ; -1.932126e-02 + i -2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.278836e-02 + i 1.714415e-02 ; -7.980816e-02 + i -1.071011e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.513903e-02 + i 2.029869e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.128313e-02 + i 8.222321e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.448358e-02 + i 1.267776e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; 9.420017e-02 + i 1.264149e-01 ; -9.420017e-02 + i -1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; 2.595540e-01 + i 3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; 
-1.258736e-02 + i -1.690959e-02 ; -5.433042e-03 + i -7.291045e-03 ; -5.433042e-03 + i -7.291045e-03 ; -2.308523e-02 + i -3.099754e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.461017e-02 + i -1.960657e-02 ; -1.536779e-02 + i -2.064087e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.389613e-03 + i -8.574746e-03 ; -3.287125e-02 + i -4.413020e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; -1.536779e-02 + i -2.064087e-02 ; -6.389613e-03 + i -8.574746e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.287125e-02 + i -4.413020e-02 ; -1.932126e-02 + i -2.592877e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.894995e-02 + i -2.544807e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.824162e-02 + i -6.475695e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.267959e-04 + i -1.877592e-04 ; -9.420017e-02 + i -1.264149e-01 ; -9.420017e-02 + i -1.264149e-01 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -2.595540e-01 + i -3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.433042e-03 + i -7.291045e-03 ; 6.218637e-03 + i 8.327726e-03 ; -1.456758e-03 + i -1.954944e-03 ; -1.461017e-02 + i -1.960657e-02 ; 1.144123e-02 + i 1.533633e-02 ; -5.352607e-03 + i -7.183100e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.462546e-03 + i 1.133901e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.986693e-02 + i 2.664346e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.389613e-03 + i -8.574746e-03 ; 6.749303e-03 + i 9.039867e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.932126e-02 + i -2.592877e-02 ; 1.278836e-02 + i 1.714415e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.393774e-03 + i 1.258870e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.400494e-02 + i 3.219660e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.420017e-02 + i -1.264149e-01 ; -1.267959e-04 + i -1.877592e-04 ; -9.420017e-02 + i -1.264149e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.667526e-02 + i -1.163342e-01 ; -2.595540e-01 + i -3.483166e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.728788e-01 + i 2.319825e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.595540e-01 + i -3.483166e-01 ; -8.667526e-02 + i -1.163342e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.789482e-01 + i -1.313748e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.891352e-01 + i 6.563926e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.049027e+00 + i 2.749738e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
