1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -2.591612e-02 + i -8.215088e-04 ; 0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.813432e-05 + i -4.208703e-06 ; -9.407838e-03 + i -2.982171e-04 ; -9.407838e-03 + i -2.982171e-04 ; -4.839003e-03 + i -1.563886e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.909175e-03 + i -6.351285e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.302197e-03 + i -1.076726e-04 ; -1.931957e-03 + i -6.124225e-05 ; 0.000000e+00 + i -0.000000e+00 ; -1.550496e-03 + i -5.214197e-05 ; -6.398247e-04 + i -2.028391e-05 ; 0.000000e+00 + i -0.000000e+00 ; -3.302197e-03 + i -1.076726e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; -1.550496e-03 + i -5.214197e-05 ; 0.000000e+00 + i -0.000000e+00 ; -6.398247e-04 + i -2.028391e-05 ; -2.323377e-03 + i -7.664404e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.271996e-03 + i -4.331264e-05 ; -5.441599e-04 + i -1.725145e-05 ; -5.441599e-04 + i -1.725145e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.357575e-04 + i 2.350773e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.283944e-04 + i 2.644298e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; 5.441599e-04 + i 1.725145e-05 ; 1.459053e-04 + i 4.625623e-06 ; 6.115663e-04 + i 1.640177e-05 ; 1.461214e-03 + i 4.632028e-05 ; 5.353329e-04 + i 1.696998e-05 ; 1.129734e-03 + i 3.281914e-05 ; 6.398247e-04 + i 2.028391e-05 ; 0.000000e+00 + i -0.000000e+00 ; 6.642017e-04 + i 1.806902e-05 ; 1.931957e-03 + i 6.124225e-05 ; 0.000000e+00 + i -0.000000e+00 ; 1.263366e-03 + i 3.705387e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; 9.407838e-03 + i 2.982171e-04 ; 9.407838e-03 + i 2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; 0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; 2.591612e-02 + i 8.215088e-04 ; 0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 
-3.302197e-03 + i -1.076726e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; -7.688751e-03 + i -2.467235e-04 ; -0.000000e+00 + i -0.000000e+00 ; -7.972243e-03 + i -2.527110e-04 ; -2.323377e-03 + i -7.664404e-05 ; 1.461214e-03 + i 4.632028e-05 ; -1.461214e-03 + i -4.632028e-05 ; -3.529733e-03 + i -1.148867e-04 ; 4.560172e-03 + i 1.445527e-04 ; -4.560172e-03 + i -1.445527e-04 ; -4.839003e-03 + i -1.563886e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.893580e-02 + i -6.032420e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.302197e-03 + i -1.076726e-04 ; 1.931957e-03 + i 6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; -7.688751e-03 + i -2.467235e-04 ; 7.972243e-03 + i 2.527110e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.813432e-05 + i -4.208703e-06 ; -9.407838e-03 + i -2.982171e-04 ; 9.407838e-03 + i 2.982171e-04 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -2.591612e-02 + i -8.215088e-04 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.099579e-03 + i 1.903508e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.461214e-03 + i 4.632028e-05 ; 1.129734e-03 + i 3.281914e-05 ; 5.353329e-04 + i 1.696998e-05 ; 4.560172e-03 + i 1.445527e-04 ; 1.720642e-03 + i 5.154471e-05 ; 2.636636e-03 + i 8.357861e-05 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.410616e-03 + i 2.953053e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.931957e-03 + i 6.124225e-05 ; 1.263366e-03 + i 3.705387e-05 ; 0.000000e+00 + i -0.000000e+00 ; 7.972243e-03 + i 2.527110e-04 ; 1.490127e-03 + i 4.423644e-05 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 2.591612e-02 + i 8.215088e-04 ; -9.407838e-03 + i -2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; 9.407838e-03 + i 2.982171e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.931957e-03 + i -6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.263366e-03 + i 3.705387e-05 ; -7.972243e-03 + i -2.527110e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.490127e-03 + i 4.423644e-05 ; -1.461214e-03 + i -4.632028e-05 ; 5.353329e-04 + i 1.696998e-05 ; 1.129734e-03 + i 3.281914e-05 ; -4.560172e-03 + i -1.445527e-04 ; 2.636636e-03 + i 8.357861e-05 ; 1.720642e-03 + i 5.154471e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.410616e-03 + i 2.953053e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.099579e-03 + i 1.903508e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 2.591612e-02 + i 8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; 9.407838e-03 + i 2.982171e-04 ; 9.407838e-03 + i 2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; 
-1.550496e-03 + i -5.214197e-05 ; -0.000000e+00 + i -0.000000e+00 ; -6.398247e-04 + i -2.028391e-05 ; -3.302197e-03 + i -1.076726e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; -1.271996e-03 + i -4.331264e-05 ; 5.441599e-04 + i 1.725145e-05 ; -5.441599e-04 + i -1.725145e-05 ; -2.323377e-03 + i -7.664404e-05 ; 1.461214e-03 + i 4.632028e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.909175e-03 + i -6.351285e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.839003e-03 + i -1.563886e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.550496e-03 + i -5.214197e-05 ; 6.398247e-04 + i 2.028391e-05 ; -0.000000e+00 + i -0.000000e+00 ; -3.302197e-03 + i -1.076726e-04 ; 1.931957e-03 + i 6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.813432e-05 + i -4.208703e-06 ; 9.407838e-03 + i 2.982171e-04 ; -9.407838e-03 + i -2.982171e-04 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 2.591612e-02 + i 8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 8.357575e-04 + i 2.350773e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; 5.441599e-04 + i 1.725145e-05 ; 6.115663e-04 + i 1.640177e-05 ; 1.459053e-04 + i 4.625623e-06 ; 1.461214e-03 + i 4.632028e-05 ; 1.129734e-03 + i 3.281914e-05 ; 5.353329e-04 + i 1.696998e-05 ; -0.000000e+00 + i -0.000000e+00 ; 9.283944e-04 + i 2.644298e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; 6.398247e-04 + i 2.028391e-05 ; 6.642017e-04 + i 1.806902e-05 ; 0.000000e+00 + i -0.000000e+00 ; 1.931957e-03 + i 6.124225e-05 ; 1.263366e-03 + i 3.705387e-05 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.407838e-03 + i 2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; 9.407838e-03 + i 2.982171e-04 ; 0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 2.591612e-02 + i 8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.398247e-04 + i -2.028391e-05 ; -0.000000e+00 + i -0.000000e+00 ; 6.642017e-04 + i 1.806902e-05 ; -1.931957e-03 + i -6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.263366e-03 + i 3.705387e-05 ; -5.441599e-04 + i -1.725145e-05 ; 1.459053e-04 + i 4.625623e-06 ; 6.115663e-04 + i 1.640177e-05 ; -1.461214e-03 + i -4.632028e-05 ; 5.353329e-04 + i 1.696998e-05 ; 1.129734e-03 + i 3.281914e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.283944e-04 + i 2.644298e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.357575e-04 + i 2.350773e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -2.591612e-02 + i -8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; -9.407838e-03 + i -2.982171e-04 ; 9.407838e-03 + i 2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; -0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; 
-2.323377e-03 + i -7.664404e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.461214e-03 + i -4.632028e-05 ; -3.529733e-03 + i -1.148867e-04 ; -4.560172e-03 + i -1.445527e-04 ; -4.560172e-03 + i -1.445527e-04 ; -3.302197e-03 + i -1.076726e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; -7.688751e-03 + i -2.467235e-04 ; -0.000000e+00 + i -0.000000e+00 ; -7.972243e-03 + i -2.527110e-04 ; -3.302197e-03 + i -1.076726e-04 ; -1.931957e-03 + i -6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; -7.688751e-03 + i -2.467235e-04 ; -7.972243e-03 + i -2.527110e-04 ; -0.000000e+00 + i -0.000000e+00 ; -4.839003e-03 + i -1.563886e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.893580e-02 + i -6.032420e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.813432e-05 + i -4.208703e-06 ; 9.407838e-03 + i 2.982171e-04 ; 9.407838e-03 + i 2.982171e-04 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; 2.591612e-02 + i 8.215088e-04 ; 0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.461214e-03 + i -4.632028e-05 ; 1.129734e-03 + i 3.281914e-05 ; -5.353329e-04 + i -1.696998e-05 ; -4.560172e-03 + i -1.445527e-04 ; 1.720642e-03 + i 5.154471e-05 ; -2.636636e-03 + i -8.357861e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.099579e-03 + i 1.903508e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; 1.263366e-03 + i 3.705387e-05 ; -0.000000e+00 + i -0.000000e+00 ; -7.972243e-03 + i -2.527110e-04 ; 1.490127e-03 + i 4.423644e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.410616e-03 + i 2.953053e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -2.591612e-02 + i -8.215088e-04 ; 9.407838e-03 + i 2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; -9.407838e-03 + i -2.982171e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.591612e-02 + i 8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.461214e-03 + i -4.632028e-05 ; -5.353329e-04 + i -1.696998e-05 ; 1.129734e-03 + i 3.281914e-05 ; -4.560172e-03 + i -1.445527e-04 ; -2.636636e-03 + i -8.357861e-05 ; 1.720642e-03 + i 5.154471e-05 ; -1.931957e-03 + i -6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; 1.263366e-03 + i 3.705387e-05 ; -7.972243e-03 + i -2.527110e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.490127e-03 + i 4.423644e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.099579e-03 + i 1.903508e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.410616e-03 + i 2.953053e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; 9.407838e-03 + i 2.982171e-04 ; -9.407838e-03 + i -2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; 2.591612e-02 + i 8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; 
-1.271996e-03 + i -4.331264e-05 ; -5.441599e-04 + i -1.725145e-05 ; -5.441599e-04 + i -1.725145e-05 ; -2.323377e-03 + i -7.664404e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.461214e-03 + i -4.632028e-05 ; -1.550496e-03 + i -5.214197e-05 ; -0.000000e+00 + i -0.000000e+00 ; -6.398247e-04 + i -2.028391e-05 ; -3.302197e-03 + i -1.076726e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; -1.550496e-03 + i -5.214197e-05 ; -6.398247e-04 + i -2.028391e-05 ; -0.000000e+00 + i -0.000000e+00 ; -3.302197e-03 + i -1.076726e-04 ; -1.931957e-03 + i -6.124225e-05 ; -0.000000e+00 + i -0.000000e+00 ; -1.909175e-03 + i -6.351285e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.839003e-03 + i -1.563886e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.813432e-05 + i -4.208703e-06 ; -9.407838e-03 + i -2.982171e-04 ; -9.407838e-03 + i -2.982171e-04 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -2.591612e-02 + i -8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.441599e-04 + i -1.725145e-05 ; 6.115663e-04 + i 1.640177e-05 ; -1.459053e-04 + i -4.625623e-06 ; -1.461214e-03 + i -4.632028e-05 ; 1.129734e-03 + i 3.281914e-05 ; -5.353329e-04 + i -1.696998e-05 ; -0.000000e+00 + i -0.000000e+00 ; 8.357575e-04 + i 2.350773e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.971161e-03 + i 5.949069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -6.398247e-04 + i -2.028391e-05 ; 6.642017e-04 + i 1.806902e-05 ; -0.000000e+00 + i -0.000000e+00 ; -1.931957e-03 + i -6.124225e-05 ; 1.263366e-03 + i 3.705387e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.283944e-04 + i 2.644298e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.383421e-03 + i 7.255759e-05 ; -0.000000e+00 + i -0.000000e+00 ; -9.407838e-03 + i -2.982171e-04 ; -3.813432e-05 + i -4.208703e-06 ; -9.407838e-03 + i -2.982171e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.685482e-03 + i -2.783198e-04 ; -2.591612e-02 + i -8.215088e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.723064e-02 + i 5.431889e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.591612e-02 + i -8.215088e-04 ; -8.685482e-03 + i -2.783198e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.776882e-02 + i -3.102149e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.878503e-02 + i 1.543422e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.204398e+00 + i 6.476145e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
