3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -2.672419e-01 + i -2.884386e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.346550e-05 + i -2.632573e-05 ; -9.698071e-02 + i -1.046729e-01 ; -9.698071e-02 + i -1.046729e-01 ; -4.957885e-02 + i -5.351226e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.944311e-02 + i -2.098626e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.376291e-02 + i -3.644186e-02 ; -1.988080e-02 + i -2.145767e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.575947e-02 + i -1.701046e-02 ; -6.570433e-03 + i -7.091576e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.376291e-02 + i -3.644186e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; -1.575947e-02 + i -1.701046e-02 ; 0.000000e+00 + i -0.000000e+00 ; -6.570433e-03 + i -7.091576e-03 ; -2.369488e-02 + i -2.557526e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.290075e-02 + i -1.392498e-02 ; -5.586236e-03 + i -6.029316e-03 ; -5.586236e-03 + i -6.029316e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.745235e-03 + i 9.437876e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.705618e-03 + i 1.047443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; 5.586236e-03 + i 6.029316e-03 ; 1.497834e-03 + i 1.616637e-03 ; 6.435523e-03 + i 6.944966e-03 ; 1.503178e-02 + i 1.622405e-02 ; 5.507071e-03 + i 5.943872e-03 ; 1.182794e-02 + i 1.276509e-02 ; 6.570433e-03 + i 7.091576e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.983508e-03 + i 7.536416e-03 ; 1.988080e-02 + i 2.145767e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.321901e-02 + i 1.426649e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; 9.698071e-02 + i 1.046729e-01 ; 9.698071e-02 + i 1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; 0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; 2.672419e-01 + i 2.884386e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 
-3.376291e-02 + i -3.644186e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; -7.891440e-02 + i -8.517460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.215580e-02 + i -8.867210e-02 ; -2.369488e-02 + i -2.557526e-02 ; 1.503178e-02 + i 1.622405e-02 ; -1.503178e-02 + i -1.622405e-02 ; -3.607740e-02 + i -3.893993e-02 ; 4.697857e-02 + i 5.070474e-02 ; -4.697857e-02 + i -5.070474e-02 ; -4.957885e-02 + i -5.351226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.948301e-01 + i -2.102843e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.376291e-02 + i -3.644186e-02 ; 1.988080e-02 + i 2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.891440e-02 + i -8.517460e-02 ; 8.215580e-02 + i 8.867210e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.346550e-05 + i -2.632573e-05 ; -9.698071e-02 + i -1.046729e-01 ; 9.698071e-02 + i 1.046729e-01 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -2.672419e-01 + i -2.884386e-01 ; 0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.317752e-02 + i 6.818753e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.503178e-02 + i 1.622405e-02 ; 1.182794e-02 + i 1.276509e-02 ; 5.507071e-03 + i 5.943872e-03 ; 4.697857e-02 + i 5.070474e-02 ; 1.801158e-02 + i 1.943920e-02 ; 2.716243e-02 + i 2.931686e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.737981e-02 + i 1.051026e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.988080e-02 + i 2.145767e-02 ; 1.321901e-02 + i 1.426649e-02 ; 0.000000e+00 + i -0.000000e+00 ; 8.215580e-02 + i 8.867210e-02 ; 1.567605e-02 + i 1.691842e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 2.672419e-01 + i 2.884386e-01 ; -9.698071e-02 + i -1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; 9.698071e-02 + i 1.046729e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.988080e-02 + i -2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.321901e-02 + i 1.426649e-02 ; -8.215580e-02 + i -8.867210e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.567605e-02 + i 1.691842e-02 ; -1.503178e-02 + i -1.622405e-02 ; 5.507071e-03 + i 5.943872e-03 ; 1.182794e-02 + i 1.276509e-02 ; -4.697857e-02 + i -5.070474e-02 ; 2.716243e-02 + i 2.931686e-02 ; 1.801158e-02 + i 1.943920e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.737981e-02 + i 1.051026e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.317752e-02 + i 6.818753e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 2.672419e-01 + i 2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; 9.698071e-02 + i 1.046729e-01 ; 9.698071e-02 + i 1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; 
-1.575947e-02 + i -1.701046e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.570433e-03 + i -7.091576e-03 ; -3.376291e-02 + i -3.644186e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; -1.290075e-02 + i -1.392498e-02 ; 5.586236e-03 + i 6.029316e-03 ; -5.586236e-03 + i -6.029316e-03 ; -2.369488e-02 + i -2.557526e-02 ; 1.503178e-02 + i 1.622405e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.944311e-02 + i -2.098626e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.957885e-02 + i -5.351226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.575947e-02 + i -1.701046e-02 ; 6.570433e-03 + i 7.091576e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.376291e-02 + i -3.644186e-02 ; 1.988080e-02 + i 2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.346550e-05 + i -2.632573e-05 ; 9.698071e-02 + i 1.046729e-01 ; -9.698071e-02 + i -1.046729e-01 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 2.672419e-01 + i 2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 8.745235e-03 + i 9.437876e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.586236e-03 + i 6.029316e-03 ; 6.435523e-03 + i 6.944966e-03 ; 1.497834e-03 + i 1.616637e-03 ; 1.503178e-02 + i 1.622405e-02 ; 1.182794e-02 + i 1.276509e-02 ; 5.507071e-03 + i 5.943872e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.705618e-03 + i 1.047443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.570433e-03 + i 7.091576e-03 ; 6.983508e-03 + i 7.536416e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.988080e-02 + i 2.145767e-02 ; 1.321901e-02 + i 1.426649e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.698071e-02 + i 1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; 9.698071e-02 + i 1.046729e-01 ; 0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 2.672419e-01 + i 2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-6.570433e-03 + i -7.091576e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.983508e-03 + i 7.536416e-03 ; -1.988080e-02 + i -2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.321901e-02 + i 1.426649e-02 ; -5.586236e-03 + i -6.029316e-03 ; 1.497834e-03 + i 1.616637e-03 ; 6.435523e-03 + i 6.944966e-03 ; -1.503178e-02 + i -1.622405e-02 ; 5.507071e-03 + i 5.943872e-03 ; 1.182794e-02 + i 1.276509e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.705618e-03 + i 1.047443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.745235e-03 + i 9.437876e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -2.672419e-01 + i -2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; -9.698071e-02 + i -1.046729e-01 ; 9.698071e-02 + i 1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; -0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; 
-2.369488e-02 + i -2.557526e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.503178e-02 + i -1.622405e-02 ; -3.607740e-02 + i -3.893993e-02 ; -4.697857e-02 + i -5.070474e-02 ; -4.697857e-02 + i -5.070474e-02 ; -3.376291e-02 + i -3.644186e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; -7.891440e-02 + i -8.517460e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.215580e-02 + i -8.867210e-02 ; -3.376291e-02 + i -3.644186e-02 ; -1.988080e-02 + i -2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.891440e-02 + i -8.517460e-02 ; -8.215580e-02 + i -8.867210e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.957885e-02 + i -5.351226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.948301e-01 + i -2.102843e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.346550e-05 + i -2.632573e-05 ; 9.698071e-02 + i 1.046729e-01 ; 9.698071e-02 + i 1.046729e-01 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; 2.672419e-01 + i 2.884386e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 
-1.503178e-02 + i -1.622405e-02 ; 1.182794e-02 + i 1.276509e-02 ; -5.507071e-03 + i -5.943872e-03 ; -4.697857e-02 + i -5.070474e-02 ; 1.801158e-02 + i 1.943920e-02 ; -2.716243e-02 + i -2.931686e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.317752e-02 + i 6.818753e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; 1.321901e-02 + i 1.426649e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.215580e-02 + i -8.867210e-02 ; 1.567605e-02 + i 1.691842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.737981e-02 + i 1.051026e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -2.672419e-01 + i -2.884386e-01 ; 9.698071e-02 + i 1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; -9.698071e-02 + i -1.046729e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.672419e-01 + i 2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.503178e-02 + i -1.622405e-02 ; -5.507071e-03 + i -5.943872e-03 ; 1.182794e-02 + i 1.276509e-02 ; -4.697857e-02 + i -5.070474e-02 ; -2.716243e-02 + i -2.931686e-02 ; 1.801158e-02 + i 1.943920e-02 ; -1.988080e-02 + i -2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.321901e-02 + i 1.426649e-02 ; -8.215580e-02 + i -8.867210e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.567605e-02 + i 1.691842e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.317752e-02 + i 6.818753e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.737981e-02 + i 1.051026e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; 9.698071e-02 + i 1.046729e-01 ; -9.698071e-02 + i -1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; 2.672419e-01 + i 2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; 
-1.290075e-02 + i -1.392498e-02 ; -5.586236e-03 + i -6.029316e-03 ; -5.586236e-03 + i -6.029316e-03 ; -2.369488e-02 + i -2.557526e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.503178e-02 + i -1.622405e-02 ; -1.575947e-02 + i -1.701046e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.570433e-03 + i -7.091576e-03 ; -3.376291e-02 + i -3.644186e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; -1.575947e-02 + i -1.701046e-02 ; -6.570433e-03 + i -7.091576e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.376291e-02 + i -3.644186e-02 ; -1.988080e-02 + i -2.145767e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.944311e-02 + i -2.098626e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.957885e-02 + i -5.351226e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.346550e-05 + i -2.632573e-05 ; -9.698071e-02 + i -1.046729e-01 ; -9.698071e-02 + i -1.046729e-01 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -2.672419e-01 + i -2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-5.586236e-03 + i -6.029316e-03 ; 6.435523e-03 + i 6.944966e-03 ; -1.497834e-03 + i -1.616637e-03 ; -1.503178e-02 + i -1.622405e-02 ; 1.182794e-02 + i 1.276509e-02 ; -5.507071e-03 + i -5.943872e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.745235e-03 + i 9.437876e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.050257e-02 + i 2.212776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.570433e-03 + i -7.091576e-03 ; 6.983508e-03 + i 7.536416e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.988080e-02 + i -2.145767e-02 ; 1.321901e-02 + i 1.426649e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.705618e-03 + i 1.047443e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.476737e-02 + i 2.673083e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.698071e-02 + i -1.046729e-01 ; -2.346550e-05 + i -2.632573e-05 ; -9.698071e-02 + i -1.046729e-01 ; -0.000000e+00 + i -0.000000e+00 ; -8.910949e-02 + i -9.617833e-02 ; -2.672419e-01 + i -2.884386e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.781324e-01 + i 1.922602e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.672419e-01 + i -2.884386e-01 ; -8.910949e-02 + i -9.617833e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.007853e+00 + i -1.087793e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.038648e-01 + i 5.438285e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.110612e+00 + i 2.278017e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
